title,artist,genre
Flowers,Miley Cyrus,Pop
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,New Release
VIBE (feat. Jimin of BTS),TAEYANG,Latin
Unholy,Sam Smith & Kim Petras,New Release
Anti-Hero,Taylor Swift,K-Pop
Heart Like A Truck,Lainey Wilson,Pop
Made You Look,Meghan Trainor,Pop
Thought You Should Know,Morgan Wallen,Country
Son Of A Sinner,Jelly Roll,Pop
wait in the truck,HARDY & Lainey Wilson,Country
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,Rock
I Ain't Worried,OneRepublic,Country
Thank God,Kane Brown & Katelyn Brown,Pop
I'm Good (Blue),David Guetta & Bebe Rexha,Pop
Journey,Zhang Zhe Han,Country
NEED A FAVOR,Jelly Roll,Dance
Unstoppable,Sia,New Release
Fall In Love,Bailey Zimmerman,Country
This Is Our God,Phil Wickham,Pop
Something in the Orange (Z&E's Version),Zach Bryan,Country
Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry,New Release
You Proof,Morgan Wallen,Christian & Gospel
Rock and a Hard Place,Bailey Zimmerman,Country
Shoot Tequila,Tigirlily Gold,Rock
The Kind of Love We Make,Luke Combs,Country
Players,Coi Leray,Country
Kill Bill,SZA,New Release
One Thing At A Time,Morgan Wallen,Country
Calm Down,Rema & Selena Gomez,Country
Looking for You,Chris Young,Hip-Hop / Rap
"Going, Going, Gone",Luke Combs,R&B / Soul
Lights Out,Lisa Marie Presley,Country
Temperature,Sean Paul,Pop
As It Was,Harry Styles,New Release
Wasted On You,Morgan Wallen,Country
CUFF IT,Beyoncé,Country
Cooler Than Me (Single Mix),Mike Posner,Rock
What My World Spins Around,Jordan Davis,Pop
Bloody Mary,Lady Gaga,Pop
golden hour,JVKE,Country
Wasted (feat. Kodak Black & Koe Wetzel),Diplo,Pop
Creepin',"Metro Boomin, The Weeknd & 21 Savage",Pop
People Get Ready,Jeff Beck & Rod Stewart,Country
Where No One Stands Alone [with Lisa Marie Presley] [2018 Version],Elvis Presley,Pop
Hold My Hand,Lady Gaga,Pop
I'll Be Waiting,Cian Ducrot,New Release
Bebe Dame,Fuerza Regida & Grupo Frontera,Country
Under the Influence,Chris Brown,Hip-Hop / Rap
I Ain't a Bitch,Alaura Lynne,Rock
Hold Me Closer,Elton John & Britney Spears,Pop
Runs in the Water,Royale Lynn,Pop
Wreckage,Nate Smith,R&B / Soul
Tennessee Whiskey,Chris Stapleton,Country
How Do I Say Goodbye,Dean Lewis,Pop
Que Vuelvas,Carin Leon & Grupo Frontera,New Release
Escapism.,RAYE & 070 Shake,Country
10:35,Tiësto & Tate McRae,New Release
Suspicious Minds,Elvis Presley,Country
She Had Me At Heads Carolina,Cole Swindell,Country
Shivers,Ed Sheeran,Pop
I'm Good (Blue),David Guetta & Bebe Rexha,Dance
Million Dollar Baby,Ava Max,Rock
Happier Than Ever,Kelly Clarkson,Country
It's a Beautiful Day (Reprise),The Kiffness & Rushawn,Pop
About Damn Time,Lizzo,Dance
Chasin' You,Morgan Wallen,Pop
Pretty Girls Walk,Big Boss Vette,Pop
Sure Thing,Miguel,Pop
Rich Flex,Drake & 21 Savage,Pop
Run Away to Mars,TALK,Country
Handle On You,Parker McCollum,Hip-Hop / Rap
Cold Heart (PNAU Remix),Elton John & Dua Lipa,R&B / Soul
Something in the Orange,Zach Bryan,Hip-Hop / Rap
Forget Me,Lewis Capaldi,Rock
Victoria’s Secret,Jax,Country
Tennessee Orange,Megan Moroney,Pop
Pick Me Up,Gabby Barrett,Country
Ghost,Tom MacDonald,Alternative
Watermelon Moonshine,Lainey Wilson,Pop
'Til You Can't,Cody Johnson,Country
Gratitude,Brandon Lake,Country
What He Didn't Do,Carly Pearce,Pop
Until I Found You,Stephen Sanchez,Country
I'm a Believer,The Monkees,Country
On Wat U On,Moneybagg Yo & GloRilla,Christian & Gospel
Way of the Triune God (Hallelujah Version),Tyler Childers,Country
Monotonía,Shakira & Ozuna,Pop
Tishomingo,Zach Bryan,New Release
Can't Help Falling In Love,Elvis Presley,Hip-Hop / Rap
Smell Like Smoke,Lainey Wilson,Country
No Horse To Ride,Luke Grimes,Country
Thunderstruck,AC/DC,Rock
Die For You,The Weeknd,Country
Just Wanna Rock,Lil Uzi Vert,Country
Easier Said with Rum,Old Dominion,R&B / Soul
Daydream,Lily Meola,Hip-Hop / Rap
Sunroof,Nicky Youre & Dazy,New Release
Hey There Delilah,Plain White T's,Country
Build a Boat,Colton Dixon,Pop
Bad Habit,Steve Lacy,Pop
